rt;order;latinsqrn;phrase;subject;condition;idnumber;idfull;rtLog;context;quantifier
1357;22;1;PREG;2069;FPS;7;FPS_7;3,15075644;FP;S
1598;23;1;blanco_CUANT;2069;FPS;7;FPS_7;3,203576775;FP;S
1158;24;1;blanco_REST;2069;FPS;7;FPS_7;3,063708559;FP;S
-1;25;1;masking_nogo;2069;CNA;14;CNA_14;NA;CN;A
65;26;1;masking_go;2069;CNA;14;CNA_14;1,812913357;CN;A
1996;27;1;CNTX;2069;CNA;14;CNA_14;3,300160537;CN;A
1074;28;1;PREG;2069;CNA;14;CNA_14;3,031004281;CN;A
917;29;1;blanco_CUANT;2069;CNA;14;CNA_14;2,962369336;CN;A
1101;30;1;blanco_REST;2069;CNA;14;CNA_14;3,041787319;CN;A
-1;31;1;masking_nogo;2069;FPA;1;FPA_1;NA;FP;A
298;32;1;masking_go;2069;FPA;1;FPA_1;2,474216264;FP;A
1140;33;1;CNTX;2069;FPA;1;FPA_1;3,056904851;FP;A
979;34;1;PREG;2069;FPA;1;FPA_1;3,009025742;FP;A
962;35;1;blanco_CUANT;2069;FPA;1;FPA_1;2,983175072;FP;A
1065;36;1;blanco_REST;2069;FPA;1;FPA_1;3,027349608;FP;A
2184;37;1;preg_Y;2069;FPA;1;FPA_1;3,339252634;FP;A
656;38;1;;2069;FPA;1;FPA_1;2,816903839;FP;A
-1;39;1;masking_nogo;2069;FPS;6;FPS_6;NA;FP;S
357;40;1;masking_go;2069;FPS;6;FPS_6;2,552668216;FP;S
3000;41;1;CNTX;2069;FPS;6;FPS_6;3,477121255;FP;S
1050;42;1;PREG;2069;FPS;6;FPS_6;3,039414119;FP;S
1393;43;1;blanco_CUANT;2069;FPS;6;FPS_6;3,143951116;FP;S
870;44;1;blanco_REST;2069;FPS;6;FPS_6;2,939519253;FP;S
527;45;1;masking_nogo;2069;FPA;5;FPA_5;2,721810615;FP;A
199;46;1;masking_go;2069;FPA;5;FPA_5;2,298853076;FP;A
2612;47;1;CNTX;2069;FPA;5;FPA_5;3,416973173;FP;A
4964;48;1;PREG;2069;FPA;5;FPA_5;3,713994268;FP;A
913;49;1;blanco_CUANT;2069;FPA;5;FPA_5;2,960470778;FP;A
926;50;1;blanco_REST;2069;FPA;5;FPA_5;2,966610987;FP;A
1479;51;1;masking_nogo;2069;CNA;11;CNA_11;3,169968174;CN;A
339;52;1;masking_go;2069;CNA;11;CNA_11;2,530199698;CN;A
2903;53;1;CNTX;2069;CNA;11;CNA_11;3,462847036;CN;A
716;54;1;PREG;2069;CNA;11;CNA_11;2,854913022;CN;A
725;55;1;blanco_CUANT;2069;CNA;11;CNA_11;2,860338007;CN;A
696;56;1;blanco_REST;2069;CNA;11;CNA_11;2,84260924;CN;A
-1;57;1;masking_nogo;2069;FPA;3;FPA_3;NA;FP;A
87;58;1;masking_go;2069;FPA;3;FPA_3;1,939519253;FP;A
1231;59;1;CNTX;2069;FPA;3;FPA_3;3,090258053;FP;A
711;60;1;PREG;2069;FPA;3;FPA_3;2,869818208;FP;A
768;61;1;blanco_CUANT;2069;FPA;3;FPA_3;2,88536122;FP;A
785;62;1;blanco_REST;2069;FPA;3;FPA_3;2,894869657;FP;A
-1;63;1;masking_nogo;2069;FPS;9;FPS_9;NA;FP;S
1741;64;1;masking_go;2069;FPS;9;FPS_9;3,240798771;FP;S
1041;65;1;CNTX;2069;FPS;9;FPS_9;3,01745073;FP;S
782;66;1;PREG;2069;FPS;9;FPS_9;2,911157609;FP;S
