subject;index;acceptability;condition;idnumber
59;20;6;FPA;1
59;22;5;FPS;13
59;38;4;FPS;12
59;40;6;FPA;4
59;42;3;CNS;5
59;46;5;CNA;15
59;48;4;FPS;15
59;54;4;FPA;2
59;56;2;CNS;1
59;60;0;CNA;11
59;64;3;FPS;14
59;68;1;CNA;13
59;72;5;CNS;2
59;76;1;FPA;3
59;82;2;FPA;5
59;84;1;CNA;14
59;90;4;CNS;4
59;92;5;FPS;11
60;18;1;FPA;5
60;22;6;CNA;15
60;26;0;FPS;15
60;28;1;CNS;3
60;34;0;FPS;11
60;38;1;CNA;11
60;46;1;CNS;1
60;50;5;CNA;14
60;52;1;FPS;13
60;54;5;CNS;4
60;60;3;FPA;3
60;64;0;CNA;12
60;68;4;FPS;12
60;76;0;CNS;2
60;78;5;FPA;2
60;80;0;CNS;5
60;86;6;FPA;4
60;92;3;CNA;13
60;94;1;FPS;14
61;16;6;CNA;15
61;20;6;FPS;13
61;30;6;CNS;3
61;32;4;FPS;12
61;34;5;FPA;5
61;36;2;CNS;2
61;46;6;CNA;13
61;48;2;CNA;11
61;56;4;CNS;5
61;58;5;FPA;3
61;62;4;FPS;15
61;64;5;FPS;14
61;70;6;FPA;2
61;74;6;CNA;12
61;76;2;CNS;1
61;80;6;FPA;4
61;82;5;FPS;11
61;90;6;CNS;4
61;94;6;CNA;14
62;20;2;CNA;14
